"app_id","supported_languages"
"813780","Vietnamese"
"813780","Korean"
"813780","Spanish - Spain"
"813780","Malay"
"813780","Polish"
"813780","Simplified Chinese"
"813780","Hindi"
"813780","Japanese"
"813780","Turkish"
"813780","Spanish - Latin America"
"813780","Russian"
"813780","Italian"
"379430","Czech"
"379430","German"
"379430","English"
"379430","French"
"379430","Portuguese - Brazil"
"379430","Ukrainian"
"379430","Korean"
"379430","Spanish - Spain"
"379430","Polish"
"379430","Japanese"
"379430","Simplified Chinese"
"379430","Turkish"
"379430","Russian"
"379430","Italian"
"1172380","German"
"1172380","English"
"1172380","French"
"1172380","Portuguese - Brazil"
"1172380","Traditional Chinese"
"1172380","Korean"
"1172380","Spanish - Spain"
"1172380","Polish"
"1172380","Simplified Chinese"
"1172380","Japanese"
"1172380","Spanish - Latin America"
"1172380","Russian"
"1172380","Italian"
