"app_id","rawg_rating","rawg_ratings_count","rawg_added","rawg_id","rawg_score","rawg_status_yet","rawg_status_owned","rawg_status_beaten","rawg_status_toplay","rawg_status_dropped","rawg_status_playing"
"1118920","0.0","0","0","349835.0","57.63523","0","0","0","0","0","0"
"1338840","0.0","1","41","914901.0","57.92353","7","20","3","10","1","0"
"449040","3.0","10","326","20040.0","87.836586","10","309","3","2","2","0"
"434250","1.5","32","689","16011.0","70.46539","19","654","4","0","12","0"
"2213120","3.73","10","47","990869.0","68.04514","5","13","16","13","0","0"
"465100","3.73","31","189","62076.0","77.447235","17","100","28","39","5","0"
"3204250","0.0","0","0","753216.0","77.01373","0","0","0","0","0","0"
"393430","2.5","12","388","8096.0","71.22972","17","368","1","1","1","0"
"1116880","0.0","1","2","667800.0","67.14395","0","2","0","0","0","0"
"1514930","3.18","288","1522","366892.0","62.694664","96","1047","260","64","45","10"
"2272400","0.0","0","5","107173.0","94.166504","0","2","0","3","0","0"
"1066130","0.0","0","0","377848.0","52.252083","0","0","0","0","0","0"
"992070","0.0","3","116","284695.0","68.98659","2","111","0","1","1","1"
"1444650","3.14","6","47","522974.0","55.847015","3","36","2","3","3","0"
"2061440","2.38","8","257","863724.0","97.357506","2","244","2","6","3","0"
"1476340","0.0","4","44","535673.0","58.708748","1","36","5","2","0","0"
"1240590","0.0","2","247","936474.0","118.2512","14","228","0","3","2","0"
"523000","4.11","17","102","13400.0","84.16498","5","78","15","2","2","0"
"1546400","2.88","8","98","619699.0","68.766495","39","42","3","5","5","4"
"609150","3.34","29","354","49079.0","71.6337","34","277","13","16","10","4"
"1189800","2.63","85","537","326233.0","75.80344","27","405","18","17","67","3"
"1817800","0.0","1","17","980794.0","93.67428","1","12","0","2","2","0"
"368430","3.39","31","561","14731.0","71.407166","31","484","18","16","9","3"
"402560","2.7","54","838","10412.0","64.53452","22","774","6","2","29","5"
"605230","3.62","5","63","50817.0","72.543045","1","53","0","4","3","2"
"1092630","2.86","7","255","349591.0","26.822857","4","243","2","2","3","1"
"1230170","0.0","2","83","960656.0","93.17955","1","77","2","1","2","0"
"1711610","0.0","0","9","886254.0","52.67662","0","8","0","1","0","0"
"2193490","0.0","4","14","975392.0","88.64544","0","6","2","4","1","1"
"1715730","0.0","2","18","850826.0","62.93101","0","18","0","0","0","0"
"3109580","0.0","1","3","999138.0","94.70691","0","1","1","0","1","0"
"1011190","3.08","26","798","370222.0","71.64599","43","726","19","4","6","0"
"2410170","0.0","0","3","989534.0","78.420265","0","2","0","1","0","0"
"728730","1.96","27","295","50404.0","92.41394","3","275","2","2","13","0"
