"app_id","total_reactions","reaction_1","reaction_2","reaction_3","reaction_4","reaction_5","reaction_6","reaction_7","reaction_8","reaction_9","reaction_10","reaction_11","reaction_12","reaction_13","reaction_15","reaction_16","reaction_17","reaction_19","reaction_20","reaction_21"
"766570","2","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"638970","33","11","1","4","6","1","0","0","0","3","3","2","2","0","0","0","0","0","0","0"
"414340","68","24","0","4","1","0","2","3","0","6","12","0","5","0","4","4","0","2","1","0"
"977950","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"678950","15","2","2","4","0","1","3","1","2","0","0","0","0","0","0","0","0","0","0","0"
"728880","12","2","2","2","0","0","1","0","5","0","0","0","0","0","0","0","0","0","0","0"
"1363080","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"471710","4","0","0","1","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0"
"1237950","9","0","1","1","0","1","0","0","1","2","0","1","1","0","1","0","0","0","0","0"
"1533390","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1238860","25","3","0","5","3","1","1","2","5","0","1","1","1","1","0","0","0","0","1","0"
"460950","26","5","2","4","0","1","4","0","0","3","1","0","6","0","0","0","0","0","0","0"
"493340","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"924970","13","1","0","0","1","0","0","1","2","0","0","0","1","1","1","1","1","1","2","0"
"2670630","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"304430","32","11","0","1","2","0","4","1","0","2","6","0","1","0","0","2","0","1","0","1"
"1286830","2","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"424370","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","0"
"2709570","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"431240","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1774580","10","2","0","2","0","1","1","2","0","0","0","1","1","0","0","0","0","0","0","0"
"387290","33","8","1","7","0","1","5","3","0","0","1","0","7","0","0","0","0","0","0","0"
"1304930","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1404210","6","1","1","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0"
"2231450","12","2","1","2","0","1","1","0","0","0","1","2","2","0","0","0","0","0","0","0"
"3146520","3","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"380600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2622380","7","1","1","2","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0"
"1250410","5","2","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1790600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2215430","26","6","2","3","1","0","1","3","0","1","3","2","1","0","1","1","0","0","0","1"
"1049590","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"489520","2","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0"
"1260320","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0"
"1139900","11","2","0","2","0","0","3","0","0","0","0","0","4","0","0","0","0","0","0","0"
"403640","12","3","2","1","1","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0"
"495420","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"493520","2","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1778820","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"838350","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"680420","20","1","0","2","1","0","2","3","2","2","1","0","1","0","0","2","0","0","1","2"
"1282100","18","1","2","3","1","0","1","0","2","1","0","2","0","0","1","1","0","1","1","1"
"285900","8","0","0","2","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0"
"1384160","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"504370","8","0","1","1","0","1","2","0","3","0","0","0","0","0","0","0","0","0","0","0"
"2479810","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"312660","6","0","0","2","0","0","0","0","0","0","1","0","0","0","1","2","0","0","0","0"
"1272080","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"871720","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"409710","14","2","0","3","4","0","0","0","0","1","1","0","0","1","1","0","0","1","0","0"
"418460","11","2","1","2","0","1","2","1","1","0","0","0","1","0","0","0","0","0","0","0"
"760160","9","0","0","1","0","0","1","0","2","1","0","1","1","1","0","1","0","0","0","0"
"1364780","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1328670","25","4","0","2","3","1","0","2","0","1","1","4","2","0","1","0","2","0","1","1"
"3240220","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"246620","4","0","1","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0"
"414700","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1621690","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1147560","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"851850","3","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0"
"674020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1284190","10","2","1","1","0","0","1","2","0","1","0","0","0","0","0","1","0","0","0","1"
"648350","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"880940","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
