"app_id","platform_names"
"1282730","iOS"
"1282730","Xbox"
"638230","PC"
"638230","iOS"
"638230","PlayStation"
"1256670","PC"
"1256670","Xbox"
"434570","PC"
"844870","PC"
"1922560","PC"
"939400","Apple Macintosh"
"939400","Linux"
"939400","PC"
"939400","iOS"
"939400","Xbox"
"555570","PC"
"2406770","PC"
"1483870","Web"
"1657630","PC"
"1657630","Xbox"
"2300320","PC"
"2300320","Apple Macintosh"
"2300320","PlayStation"
"2300320","Xbox"
"640820","Apple Macintosh"
"640820","Linux"
"640820","PC"
"640820","PlayStation"
"640820","Xbox"
"1817230","PC"
"1817230","PlayStation"
"1817230","Xbox"
"535930","Apple Macintosh"
"535930","Nintendo"
"535930","PC"
"535930","PlayStation"
"535930","iOS"
"535930","Xbox"
"1235140","PC"
"1235140","PlayStation"
"1235140","Xbox"
"383120","PC"
"1677280","PC"
"597170","PC"
"597170","Apple Macintosh"
"597170","Xbox"
"371660","PC"
"371660","PlayStation"
"371660","Xbox"
"2231380","PC"
"2231380","PlayStation"
"2231380","Xbox"
"8980","PC"
"8980","Apple Macintosh"
"8980","PlayStation"
"8980","Xbox"
"939960","PC"
"939960","PlayStation"
"939960","Xbox"
"1859910","PC"
"2878980","PC"
"2878980","PlayStation"
"2878980","Xbox"
"1100600","PC"
"1100600","Apple Macintosh"
"1359090","PC"
"1359090","iOS"
"299740","PC"
"637090","PC"
"637090","Apple Macintosh"
"637090","Linux"
"1336490","PC"
