"app_id","full_audio_languages"
"489520","English"
"1260320","Traditional Chinese"
"1260320","Simplified Chinese"
"1260320","English"
"1260320","Thai"
"1139900","Ukrainian"
"1139900","English"
"403640","German"
"403640","English"
"403640","French"
"403640","Portuguese - Brazil"
"403640","Spanish - Spain"
"403640","Polish"
"403640","Japanese"
"403640","Russian"
"403640","Italian"
"495420","Simplified Chinese"
"495420","English"
"493520","Traditional Chinese"
"493520","English"
"1778820","English"
"1778820","Spanish - Latin America"
"680420","German"
"680420","English"
"680420","French"
"680420","Portuguese - Brazil"
"680420","Spanish - Spain"
"680420","Polish"
"680420","Japanese"
"680420","Spanish - Latin America"
"680420","Russian"
"680420","Italian"
"1282100","German"
"1282100","English"
"1282100","French"
"1282100","Spanish - Spain"
"1282100","Simplified Chinese"
"1282100","Russian"
"1282100","Italian"
"1384160","Japanese"
"1384160","Korean"
"1384160","English"
"1384160","Portuguese - Brazil"
"504370","Japanese"
"504370","English"
"2479810","English"
"2479810","Turkish"
"312660","German"
"312660","English"
"312660","French"
"312660","Portuguese - Brazil"
"312660","Traditional Chinese"
"312660","Spanish - Spain"
"312660","Russian"
"312660","Italian"
"1272080","English"
"1272080","Turkish"
"871720","English"
"409710","German"
"409710","English"
"409710","French"
"409710","Spanish - Spain"
"409710","Simplified Chinese"
"409710","Japanese"
"409710","Italian"
"418460","English"
"418460","Turkish"
"760160","German"
"760160","English"
"760160","French"
"760160","Portuguese - Brazil"
"760160","Traditional Chinese"
"760160","Korean"
"760160","Spanish - Spain"
"760160","Polish"
"760160","Simplified Chinese"
"760160","Japanese"
"760160","Spanish - Latin America"
"760160","Russian"
"760160","Italian"
"1364780","Japanese"
"1364780","English"
"1364780","Spanish - Latin America"
"1328670","German"
"1328670","English"
"1328670","French"
"1328670","Russian"
"1328670","Italian"
"3240220","Traditional Chinese"
"3240220","English"
"246620","German"
"246620","English"
"246620","French"
"246620","Portuguese - Brazil"
"246620","Traditional Chinese"
"246620","Korean"
"246620","Spanish - Spain"
"246620","Norwegian"
"246620","Polish"
"246620","Japanese"
"246620","Simplified Chinese"
"246620","Turkish"
"246620","Russian"
"246620","Italian"
"246620","Portuguese - Portugal"
"414700","Simplified Chinese"
"414700","English"
"414700","French"
"851850","Thai"
"851850","Japanese"
"851850","English"
"674020","German"
"674020","English"
"674020","French"
"674020","Korean"
"674020","Spanish - Spain"
"674020","Polish"
"674020","Simplified Chinese"
"674020","Arabic"
"674020","Russian"
"674020","Turkish"
"1284190","English"
"1284190","Turkish"
"648350","German"
"648350","English"
"648350","French"
"648350","Portuguese - Brazil"
"648350","Korean"
"648350","Spanish - Spain"
"648350","Simplified Chinese"
"648350","Japanese"
"648350","Spanish - Latin America"
"648350","Russian"
"648350","Italian"
"880940","German"
"880940","English"
"880940","French"
"880940","Portuguese - Brazil"
"880940","Traditional Chinese"
"880940","Korean"
"880940","Spanish - Spain"
"880940","Simplified Chinese"
"880940","Japanese"
"880940","Russian"
"880940","Italian"
"637650","German"
"637650","English"
"637650","French"
"637650","Traditional Chinese"
"637650","Japanese"
"637650","Russian"
"2567870","English"
"454650","Japanese"
"454650","English"
"454650","Spanish - Latin America"
"617290","German"
"617290","English"
"617290","French"
"617290","Traditional Chinese"
"617290","Spanish - Spain"
"617290","Russian"
"617290","Italian"
"2593370","Traditional Chinese"
"2593370","Simplified Chinese"
"2593370","Japanese"
"2593370","Russian"
"2623190","Simplified Chinese"
"2623190","English"
"1627720","English"
"1627720","Italian"
"364360","Traditional Chinese"
"364360","English"
"253230","English"
"253230","Spanish - Latin America"
"470220","English"
"470220","Portuguese - Brazil"
"774361","Korean"
"774361","English"
"774361","Spanish - Spain"
"1693980","German"
"1693980","English"
"1693980","French"
"1693980","Portuguese - Brazil"
"1693980","Spanish - Spain"
"1693980","Polish"
"1693980","Simplified Chinese"
"1693980","Italian"
"480490","German"
"480490","English"
"480490","French"
